sentence,true_label,pred_label,score
오늘 채색 피드백 바로 들어갈게요,0,1,0.9371664337364854
채색팀 오늘 점심 같이 할래요?,0,1,0.95934316996266
오늘 밤에 배경팀 쪽으로 수정본 공유해드릴게요,0,1,0.9359797625848111
오늘 잉킹 파트 피드백 조금 늦어질 듯ㅠ,0,1,0.9033251529016924
오늘 배경 합성 피드백 주세요~,0,1,0.9106765871000625
채색팀 자료 오늘 안에 올릴게요,0,1,0.9016317603154477
배경 레퍼런스 자료 내일까지 부탁드려요,0,1,0.8953742350981989
채색 피드백 언제까지 필요하신가요?,0,1,0.904129724198155
채색팀 오늘 회의 자료 받으셨나요?,0,1,0.9654467754648056
콘티 피드백 내일까지 부탁드려요,0,1,0.9287457402694698
이 씬 채색 스타일 바꿔볼까요?,0,1,0.9012855321945187
오늘 채색 피드백 바로 드릴게요,0,1,0.921741611183398
채색 피드백 오늘 중으로 부탁드려요,0,1,0.9304217735393503
배경팀 오늘 싱크 자료 공유 부탁드려요,0,1,0.9168472435965063
오늘 배경 PSD 파일 공유해드렸어요,0,1,0.9327352316146479
오늘 밤까지 배경 스케치 피드백 부탁!,0,1,0.9773065495633556
회의실 예약 완료!,0,1,0.9999597623488948
콘티 초안 내일까지 부탁드려요,0,1,0.944140288925683
오늘 잉킹 피드백은 좀 빠듯할 듯요,0,1,0.93258926777473
오늘 배경팀 미팅 링크 보내주실 수 있나요?,0,1,0.8983042296943816
배경팀 오늘 점심 같이 먹을래요?,0,1,0.9166103396325024
배경 레퍼런스 내일 오전까지 부탁해요,0,1,0.99775724163249
"팀장님, 리뷰 언제까지 주실 수 있나요?",0,1,0.9680228911634895
채색팀 오늘 작업 어땠어요?,0,1,0.9837407233509511
내일 싱크 회의 링크 미리 공유해 주세요,0,1,0.993746273626145
오늘 배경팀 미팅 링크 여기!,0,1,0.9758909384256125
"오늘 콘티 피드백만 주세요, 나머지는 뒤로 미루죠",0,1,0.8947851981456862
"채색 수정된 부분 다시 봐주세요, 내일 아침에요",0,1,0.9705225571289363
"배경 담당자랑 얘기할게요, 일정은 안 바꾸겠어요",0,1,0.9271935671160056
